# Feature / Sample,Validation|LLDeep_0001,Validation|LLDeep_0003,Validation|LLDeep_0010,Validation|LLDeep_0011,Validation|LLDeep_0012,Validation|LLDeep_0015,Validation|LLDeep_0018,Validation|LLDeep_0021,Validation|LLDeep_0022,Validation|LLDeep_0024,Validation|LLDeep_0026,Validation|LLDeep_0027,Validation|LLDeep_0028,Validation|LLDeep_0029,Validation|LLDeep_0030,Validation|LLDeep_0033,Validation|LLDeep_0034,Validation|LLDeep_0037,Validation|LLDeep_0039,Validation|LLDeep_0043,Validation|LLDeep_0047,Validation|LLDeep_0052,Validation|UMCGIBD00072,Validation|UMCGIBD00122,Validation|UMCGIBD00030,Validation|UMCGIBD00167,Validation|UMCGIBD00208,Validation|UMCGIBD00032,Validation|UMCGIBD00529,Validation|UMCGIBD00371,Validation|UMCGIBD00145,Validation|UMCGIBD00613,Validation|UMCGIBD00004,Validation|UMCGIBD00053,Validation|UMCGIBD00269,Validation|UMCGIBD00250,Validation|UMCGIBD00327,Validation|UMCGIBD00249,Validation|UMCGIBD00461,Validation|UMCGIBD00266,Validation|UMCGIBD00347,Validation|UMCGIBD00645,Validation|UMCGIBD00361,Validation|UMCGIBD00485,Validation|UMCGIBD00041,Validation|UMCGIBD00126,Validation|UMCGIBD00082,Validation|UMCGIBD00442,Validation|UMCGIBD00412,Validation|UMCGIBD00539,Validation|UMCGIBD00077,Validation|UMCGIBD00141,Validation|UMCGIBD00389,Validation|UMCGIBD00112,Validation|UMCGIBD00508,Validation|UMCGIBD00588,Validation|UMCGIBD00106,Validation|UMCGIBD00393,Validation|UMCGIBD00458,Validation|UMCGIBD00254,Validation|UMCGIBD00593,Validation|UMCGIBD00233,Validation|UMCGIBD00238,Validation|UMCGIBD00027,Validation|UMCGIBD00064
Bifidobacterium_pseudocatenulatum,0.0015505999999999999,0.0,0.0,0.0,0.009269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019847000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25e-05,0.0026644000000000004,0.0003612,0.0,0.0,0.0,0.0,0.0169429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669577,0.0,0.0,0.0,0.12012300000000001,0.0,0.0203366,0.0,0.0,0.0,0.0,0.0,0.0,0.0017441,0.0,0.0,0.0,0.0,0.0,0.0,0.0101792,0.0,0.0
Adlercreutzia_equolifaciens,0.00037370000000000003,0.0,0.0,0.0017112000000000002,0.00038280000000000003,0.0034748000000000005,0.0,0.0022923,0.0032412,0.0007159,0.004423699999999999,0.002043,0.0018922999999999998,0.0062193000000000005,0.0049912,0.000248,0.0017697,0.0023035,0.0,0.0017667000000000002,0.0,0.0053963,1.9e-06,0.0004414,0.0,0.0,0.0009457000000000001,0.0,0.0006347000000000001,0.0,0.0,0.0002378,0.0,0.0,0.0,0.0,0.0027699,0.004572,0.0,0.0,0.0083584,0.0,0.0,0.0,0.0,0.0,0.0,0.0017392,0.0018180999999999998,0.000244,0.0,0.0,0.00015490000000000002,0.0078872,0.00015209999999999998,0.0002028,0.0,0.0,0.0005972,0.0,0.0023458000000000003,0.0,0.0004769,0.0113682,0.0
Collinsella_aerofaciens,0.021514,0.0,0.0,0.0344349,0.0454582,0.043385900000000005,0.045247300000000004,0.015354099999999999,0.026280400000000002,0.0364047,0.0819103,0.0164875,0.0680018,0.0300496,0.05858150000000001,0.031189299999999996,0.088077,0.0099843,0.0001238,0.130733,0.021648,0.019784299999999998,0.042143900000000005,0.120117,0.0,0.0402604,0.0,0.0,0.05509019999999999,0.06299830000000001,0.0,0.0310332,0.046677800000000005,0.0,0.13406700000000002,0.0,0.02174,0.117447,0.0,0.061332500000000005,0.0,0.0038374000000000004,0.010736399999999998,0.0,0.0,0.0,0.0876038,0.0392611,0.021141,0.0,0.0298832,0.0,0.0572178,0.0240243,0.07593889999999999,0.0323018,0.0,0.0,0.12546300000000002,0.0,0.166519,0.0,0.0,0.0,0.0
Collinsella_intestinalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collinsella_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eggerthella_lenta,0.0,0.00038560000000000005,0.0204,0.0001107,0.0,1.0800000000000002e-05,8e-06,0.0002258,0.0,6.929999999999999e-05,0.0,5.5e-06,3.6700000000000004e-05,0.0,0.0,0.0006016,8.23e-05,8.52e-05,0.011592,0.0,0.0001631,0.0,1.8e-05,0.0,4.49e-05,0.0,8.5e-06,4.59e-05,0.0011930999999999999,0.0,0.0,0.0,0.0,0.0021758000000000003,0.0012364000000000001,0.0,0.0001673,0.0039698,0.0,0.0001732,0.0,0.0,0.0033065,0.0008932,0.0066056,0.0,0.0048629,0.000437,0.0007092,0.0016076,0.0,0.0023636,0.0001,0.0001536,0.00020980000000000003,0.0,0.0,0.0075956,0.0,0.0,0.0,0.0001719,0.0036093,5.04e-05,0.0037361999999999994
Eggerthella_sp_1_3_56FAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eggerthella_unclassified,0.0,0.007303699999999999,0.0125554,0.0,0.0001042,0.0002747,0.0,0.0005434,2.46e-05,3.54e-05,0.00042960000000000003,0.0005267000000000001,0.000267,0.0046695,0.0002025,0.0006736000000000001,0.0,0.0002079,0.0412319,7.63e-05,0.0,0.004113,0.0,0.0,0.0054489,0.0,0.0,0.0218345,0.0082152,0.0057034,0.0,0.000244,0.0,0.0052683,0.0083669,0.00047480000000000005,0.00038280000000000003,0.0040041,0.0,0.0006020999999999999,0.0027233,0.0,0.0031232,0.007026,0.0163615,0.0269657,0.0063877,0.0,0.0005439,0.0380452,0.0003686,0.0698201,0.000215,0.004461100000000001,0.000455,7.28e-05,0.00042,0.021126699999999998,0.0052832999999999995,0.0,0.0,0.0352598,0.010295299999999999,0.0005788,0.013766399999999998
Gordonibacter_pamelaeae,0.0,0.0021582,0.0161932,0.00025499999999999996,0.0,0.00015930000000000002,8.540000000000002e-05,0.00027939999999999996,3.78e-05,0.0,0.0011669,0.0005075,0.0,0.0009212,0.0001954,6.890000000000001e-05,2.78e-05,0.00020150000000000002,0.0019227,0.001737,0.0001975,0.0018210000000000001,0.0,0.0,0.0,0.0,0.0001416,2.11e-05,0.0019952999999999998,0.0,0.0,0.0,0.0,0.0042801,0.0016787,0.0008027,0.0035288000000000003,0.0109623,0.0,0.0007182,0.0005001000000000001,0.0,0.0001346,0.0003727,0.0,0.0,0.0018645,0.003892,0.0008529,0.0,0.0,0.0018469,0.0,0.005437300000000001,0.0,0.0008964,0.0084234,0.0061308,0.0,0.0,0.0,0.0031847,0.0004662,0.0056275,0.0007803
Slackia_piriformis,0.0,0.0,0.0,0.0025603,0.0006013,0.0,0.0,0.0,0.0028916000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002848,0.0,0.0,0.0,0.0,0.0,0.0047578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_caccae,0.0,0.0112911,0.016704499999999997,0.11838499999999999,0.0004502,0.005186,0.00015490000000000002,0.07265369999999999,0.0,0.0008574,0.0,0.0008336,0.0176268,0.0,0.0036327,0.0362426,0.00012209999999999999,0.0014257,0.0,0.0,0.005294600000000001,0.0007734,0.0,4.98e-05,0.0,0.014471200000000002,0.0066170000000000005,0.0,0.014249600000000001,0.0,0.0,0.005273399999999999,0.0120312,0.0039414,0.0,0.0,0.0039145000000000004,0.0024243000000000003,0.0,0.00040720000000000003,0.0,0.0,0.026200400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0118195,0.0,0.0,0.0018965999999999998,0.0036638000000000005,0.021732400000000002,0.0,0.0,0.0,0.022853099999999998,0.0,0.0,0.0,0.0118449,0.0,0.0
Bacteroides_cellulosilyticus,0.00011719999999999999,0.0,0.0471223,0.0026109,0.0001747,0.0031707,0.00011399999999999999,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005638300000000001,0.0009676999999999999,0.0,0.0,0.0,0.0005334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040413,0.0048609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015540999999999999,0.0,0.0,0.00042439999999999996,0.0,0.0,0.0,0.0,0.0,0.015255100000000002,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_dorei,0.000708,0.0,0.0,0.0006995,0.0004345,0.0,0.003908,0.0,0.0007086,0.0041606,0.0,0.0005283,0.0002247,0.0198482,0.00027269999999999996,0.0063996,0.0005492000000000001,0.0026698,0.0,1.0199999999999999e-05,0.007084399999999999,5.91e-05,3.6000000000000003e-06,0.0,0.0214867,0.0087114,0.0025889,0.0,0.0357515,2.25e-05,0.0,0.0,0.0010374,0.0,0.0,0.0,0.0121086,0.014767700000000002,0.0,0.005661,0.015927700000000003,0.0,0.0035874,0.0,0.0,0.0,0.03321180000000001,0.00116,0.0,0.025571700000000003,0.0010857999999999998,0.0,0.0,0.0,0.004713899999999999,0.0,0.0,0.0036873000000000006,0.0060853,0.0,0.0,0.0,0.0576004,0.0163585,0.0866171
Bacteroides_eggerthii,0.0016091999999999999,0.0,0.0,0.0109107,0.0023453000000000002,0.0,0.000843,0.0,0.011151600000000001,0.0019414999999999999,0.0,0.0,0.0,0.0,0.0003944,0.0,2.35e-05,0.0,0.0,0.0,0.0,0.0078683,0.0,0.0,0.0,7.62e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08177050000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019477999999999997,0.0,0.0,0.0,0.0447359,0.0,0.0017964000000000003,0.0,0.0,0.0,0.0
Bacteroides_faecis,0.0,0.0,0.0,0.000592,0.0007227000000000001,0.0,0.0,0.0111786,0.0073399,0.0,0.0,0.0,9.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054852,0.0,0.0,0.0,0.0033796,0.0,0.0,0.00021390000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0038379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15e-05,0.0,0.0,0.0,0.0001182,0.0,0.0,0.0,6.790000000000001e-05,0.0,0.0
Bacteroides_finegoldii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_fragilis,0.0,0.0,0.0,1.47e-05,0.0,0.0023550999999999997,0.0,0.0241426,0.0012113,0.0,0.0,0.0007765,0.0014454000000000001,0.0,0.0010115999999999999,0.0,0.0,0.0,0.0054131,0.0,0.0001631,0.0,0.0,0.0,0.026295999999999996,0.0007023,0.0,0.023405099999999998,0.0003187,0.0266695,0.0,0.0,0.0020911,0.0018847999999999998,0.0,0.0011439,0.0017172999999999997,0.0,0.0,0.0,0.0173421,0.0007436,0.0,0.32101,0.0,0.0,0.008765899999999998,0.0,2.42e-05,0.0,0.0025368,0.0,0.0,0.0027311,0.0056279,0.0,0.0,0.0,0.0,0.0,0.0002302,0.0506394,0.034675,0.0,0.0034195999999999996
Bacteroides_intestinalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_massiliensis,0.006674600000000001,0.0,0.0208888,0.021283700000000003,0.0025686999999999997,0.0,0.0076622,0.0,0.006640600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0048196,0.0,0.0,0.0,0.00016659999999999998,0.0,0.0034246000000000003,0.0,0.0,0.0,0.0,0.0015708,0.0,0.0,0.0,0.0,0.0,0.05266269999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0023925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_ovatus,3.1e-06,0.0006132999999999999,0.0033162,0.0016618,1.92e-05,0.0,0.0008411,0.0005605,0.0036423000000000002,0.0,0.0006117000000000001,0.007738200000000001,0.0016965,0.0,0.0008693999999999999,0.0038540999999999996,0.000417,0.0011164999999999999,0.0,0.0,0.0001481,0.0005539,1.92e-05,0.0,0.0,0.0001505,0.0002215,0.038839099999999994,9.4e-06,0.0,0.0,0.0,0.0026037,0.0027984000000000004,0.004224,0.0,0.0009855999999999999,0.0018794,0.0,0.0003593,0.0040615,0.0,0.0033134,0.0,0.0,0.0,0.0,0.0062545000000000005,0.0011499000000000001,0.0099283,3.5e-05,0.0,0.0008208,0.0158644,0.0004056,0.0,0.0,0.019523,1.9600000000000002e-05,0.0,0.0,0.0,0.004312699999999999,0.010819200000000001,0.036943199999999995
Bacteroides_salyersiae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_sp_2_1_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteroides_stercoris,0.0,0.0087802,0.0,3.04e-05,0.0025233,0.0,0.0001042,0.004920600000000001,0.009936799999999999,0.0,0.0,0.0,0.007137600000000001,0.0,0.0,0.0001692,0.0,0.0,0.0,0.0,0.0007925,0.0,0.0016719999999999999,0.0003819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148048,0.0,0.0,0.0,0.0573952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014613999999999999,0.0,0.0,0.0256308,0.0019824,0.0,0.008849700000000002,3.18e-05,0.0,0.0,0.0,0.0,0.0020259,0.0,0.0017221,0.0,0.0,0.0,0.0
Bacteroides_thetaiotaomicron,5.629999999999999e-05,0.0048647,0.0058446,0.0,4.429999999999999e-05,0.0033453000000000003,0.0007254,0.0012204,0.00012880000000000001,4.970000000000001e-05,0.0,0.003196,0.0025655,0.0013903,0.0010624,0.0024531999999999996,0.0001518,0.0,0.0,0.0,0.0011317999999999999,0.0007454,0.0,0.0,0.189139,0.005968,2.55e-05,0.0,0.005605,0.0,0.0,0.0014624,0.0,0.005416600000000001,0.0079098,0.0002013,0.0,0.000251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020459999999999999,0.0,0.001368,0.0,0.0,0.0,0.0020873000000000003,0.0,0.0,0.009612200000000001,0.0060325000000000005,0.0,0.0,0.0,0.005257100000000001,0.0,0.0059464
Bacteroides_uniformis,0.0385752,0.018789,0.023422799999999997,0.0089199,0.0172092,0.0090473,0.014825399999999999,0.0017015999999999997,0.011411899999999999,0.0041701,0.0004984,0.0158391,0.0059381,0.0,0.000538,0.004218100000000001,0.0010806,0.032166200000000006,0.0,0.0004735,0.016672799999999998,0.0151333,9.379999999999999e-05,0.0014411,0.0,0.025693599999999997,0.027222399999999997,0.0452287,0.0046203,0.101352,0.0,0.015619,0.0238667,0.062903,0.0174114,0.007650499999999999,0.0012860999999999999,0.011926299999999999,0.0,0.0024066,0.0696377,0.0,0.101937,0.0,0.109766,0.0,0.040242,0.0,0.0,0.021507299999999997,3e-06,0.0,0.0157885,0.0114998,0.0033491,0.0023133000000000003,0.0,0.0,0.0169658,0.0,0.0069887000000000005,0.0,0.0197672,0.0265017,0.0700972
